,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,vs Almería,20,3.0,10,0,0,33,56,15,65,45,23,0,0,0,205,28,33,45.9
1,vs Athletic Club,22,3.0,10,0,0,52,30,0,39,41,28,0,0,0,143,28,41,40.6
2,vs Atlético Madrid,18,3.0,9,0,0,43,45,2,50,26,17,0,0,0,147,34,31,52.3
3,vs Barcelona,19,3.0,11,0,0,49,37,12,19,37,40,0,0,0,212,28,50,35.9
4,vs Betis,20,3.0,16,1,0,71,37,8,32,49,24,0,2,0,176,39,40,49.4
5,vs Cádiz,19,3.0,5,0,0,39,45,3,54,24,34,2,0,0,186,65,42,60.7
6,vs Celta Vigo,17,3.0,6,0,0,47,49,2,23,43,29,2,1,0,248,55,54,50.5
7,vs Elche,22,3.0,10,1,0,47,49,12,29,25,38,1,0,0,211,34,26,56.7
8,vs Espanyol,18,3.0,10,1,1,49,47,9,29,31,22,0,1,0,215,54,66,45.0
9,vs Getafe,17,3.0,8,0,0,55,48,7,33,14,32,0,0,0,226,42,53,44.2
10,vs Girona,19,3.0,9,2,0,55,46,3,26,40,29,0,0,1,201,52,43,54.7
11,vs Mallorca,17,3.0,9,0,0,43,55,2,61,24,27,1,0,0,281,40,52,43.5
12,vs Osasuna,19,3.0,8,2,1,34,54,5,36,30,21,0,3,0,206,60,63,48.8
13,vs Rayo Vallecano,19,3.0,8,2,1,49,47,9,48,38,27,0,0,0,248,63,32,66.3
14,vs Real Madrid,20,3.0,5,1,0,48,26,3,34,34,29,0,2,0,204,28,29,49.1
15,vs Real Sociedad,20,3.0,8,0,0,38,59,7,31,41,45,0,1,0,227,43,43,50.0
16,vs Sevilla,22,3.0,12,1,0,56,44,13,23,28,25,1,0,0,204,36,60,37.5
17,vs Valencia,20,3.0,11,0,0,49,51,15,30,24,26,0,1,0,145,40,26,60.6
18,vs Valladolid,21,3.0,3,1,0,41,28,6,51,27,39,0,0,0,262,55,37,59.8
19,vs Villarreal,17,3.0,4,1,0,30,43,9,41,36,45,0,0,0,203,37,40,48.1
